127.0.0.1 - - [28/Dec/2025:01:15:04 +0100] "GET / HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:15:08 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:15:08 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:15:08 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:15:08 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:15:08 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:15:08 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:15:12 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:15:12 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:16:44 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:16:44 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:16:54 +0100] "OPTIONS /soa_projet/users/delete/3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:16:55 +0100] "DELETE /soa_projet/users/delete/3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:17:00 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:17:00 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:20:45 +0100] "OPTIONS /soa_projet/users/add HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:20:46 +0100] "POST /soa_projet/users/add HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:20:51 +0100] "POST /soa_projet/users/add HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:21:21 +0100] "POST /soa_projet/users/add HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/Dec/2025:01:22:26 +0100] "POST /soa_projet/users/add HTTP/1.1" 200 97
